就活,xxx,WHEN,今３年ですが何時から就活をスタートさせればよいでしょうか？
仕事,自己分析,WHAT,なにを重視したらいいのか、やりたいことを仕事に結びつけるためにはどういう考えを持てばいいか教えて欲しいです。
自分,自己分析,HOW,ありがとうございます！英語は苦手で、TOEICは受けたことがないですが自分のレベルの把握のためにも受けてみようと思います！自己分析の方法知りたいです。
仕事,自己分析,HOW,ありがとうございます。まだしっかりと考えられていないですね。ただ自分にどういった仕事が合うのか、というのは気になります！
仕事,自己分析,TEACH,こんにちは。お世話になっております。学生団体GEIL2016に所属しております、加藤です。ご連絡ありがとうございます。そうですね、私は美大のデザイン科なので、広告代理店や出版業界などに少し興味がございます。ですが、まだしっかり定まってはいないので、自分に合った仕事の見つけ方など、是非、教えて頂きたいです。
仕事,自己分析,xxx,ありがとうございます！自分に合った仕事の見つけ方を知りたいです。
仕事,自己分析,HOW,私のサークルでは多くの先輩が3年生からインターン始めているんですけど、それって遅いのかなぁ？と疑問に思ってます。でも1.2年のうちは遊びたいし、、、と悩んでいます。それから、現在塾講師のバイトをしてるんですけど、始めた当初は子供を相手に勉強を教えるの好きだしやろう！と思ってやっていたのですが、次第に合わないのかなと感じることが最近多々あります。なにごとも完全に満足できることがないのはわかっているのですが、できるだけ自分にあった仕事ってどう見つければいいんでしょうか？？
xxx,xxx,xxx,まだないですね〜。全くわかってない状況です_
仕事,自己分析,TEACH,脇口さんはじめまして！例えばで挙げていた抱いた、「自分に合った仕事の見つけ方」に今現在まさに悩んでいます...。先輩や同学年の友人がサマーインターンに申し込んでいるのを見て、私も悩んだのですが正直どのような仕事についていいのかわからず、申し込みをできないでいます。
xxx,xxx,xxx,お返事が遅くなって申し訳ないです。はい、大丈夫です。3番よろしくお願いいたします。
xxx,自己分析,HOW,こんにちは。自己分析の方法でオススメとかありますか？
自分,自己分析,WHAT,自己分析をしても、業界研究をしてもやりたい仕事がわからないです。どれもやりたくないというよりは、どれでも大丈夫そうよさそうという感じで、自分になにが向いているのかなにが楽しいのか見極められないです。
仕事,xxx,TEACH,東京理科大　3年　数学科　ですこのサービスは大学の生協から紹介です今自分の将来活かせる仕事を探しています是非教えてください
インターン,自己分析,xxx,ご連絡ありがとうございます。明日キャリアセンターの職員の方を相手にした大学主催のインターンの面接を控えているのですが、どの程度の自己分析が必要なのかが分かりません。
xxx,自己分析,HOW,自己分析の方法教えてください！
自分,xxx,WHAT,また、就活前最後の三年生の夏休みに(自分は今3年生です)何をしておけばよいですか？
インターン,軸,xxx,就活する上での軸(会社や業界選びの基準)が見つかりません。インターンシップに行けば見つかるものですか？
xxx,自己分析,HOW,自己分析やってみたいです方法教えてください
企業,自己分析,xxx,自分がどんな業界に興味があるのかさえ、分からない大学三年生です。わたしにあった業界、企業を知りたいです。
xxx,自己分析,HOW,そうですね。ありがとうございます。自己分析の方法を教えていただけますか？
仕事,自己分析,TEACH,今は、放送業界や広告代理店に興味を持っています。ですが、まだ少し興味があるというレベルです。自分にあった仕事の見つけ方について教えていただきたいです。
仕事,xxx,xxx,なるほど。資格で職種が決まるものもあるが、それはほとんど専門性がすごい高い場合に限られるというわけですか。資質ですかぁー。どのようにして資質を測ったりできるんですか？？
xxx,試験,HOW,ESがうまく書けないことや、ウェブテスト対策をができてないことなどがあります。
xxx,自己分析,HOW,こんにちは。自己分析の方法でオススメとかありますか？
xxx,自己分析,xxx,どのように業界研究や自己分析をして行けばいいのかが分からないんですが、
仕事,自己分析,HOW,前橋工科大学、修士2年、生物工学専攻学校のチラシで知りました。現在、選考が進んでいる会社がゼロになりどうしたら良いのか悩んでいます。また、自分のやりたい事、やりたい仕事がどうしてもわかりません。
業界,自己分析,WHAT,不動産、商社、コンサル、といった、自分の専攻とは直接関係のない業界に興味があります。しかし就活の準備としてまず何から始めればいいのかすらわかりません。まずは本などでその業界を調べることからでしょうか
就活,自己分析,WHAT,ご連絡ありがとうございます！最近はもっぱら研究が忙しくあまり就職活動に関しての行動ができていません。そろそろ業界研究、自己分析等を始めたいのですが具体的に何から始めていったらよいのでしょうか？
就活,自己分析,HOW,こんにちわ！自己分析について質問があります。自己分析のやり方についてネットでは情報が錯綜しており、どのページを信じていいかわかりません。就活をする上で、オススメの自己分析方法(どの程度の分析が必要かも)などがあれば教えていただきたいです！
企業,軸,HOW,就活の軸の定め方や、軸を持った場合どうやってそれにマッチした企業を探すのが効率的ですか？
業界,分析,HOW,名前...なんて見てないので！ダイジョブです！(笑)自己分析と並行して業界分析もできるとは思うのですが、そちらについても何か流れや方法といったものがあるのでしょうか
企業,自己分析,HOW,東京工業大学理工学研究科化学専攻修士1年の島村亮汰と申します。 本日は様々な企業のお話を聞くことができ大変勉強になりました。ありがとうございます。 私は就職先が自分にあった企業であってほしいため、自己分析が大事だと考えているのですが、具体的に何をすべきかがよく分かりません。 自己分析方法を教えて頂けると幸いです。
xxx,自己分析,TEACH,もし自己分析が出来るツールみたいなのがあれば教えていただきたいのですけどありますか？
xxx,自己分析,HOW,自己分析のやり方を教えて欲しいです。
xxx,自己分析,HOW,自己分析のやり方がわかりません。
xxx,自己分析,HOW,自己分析のやり方について教えて頂きたいです。よろしくお願いいたします。
業界,試験,xxx,"教育人材業界は自己分析を重視されます。自身のやる気スイッチを見つけていないと面接はかなり厳しいです！ 逆にSPIなどは重視しない。  よろしければ説明しましょうか？"
xxx,自己分析,xxx,"ありがとうございます！  自己分析もお願いします"
xxx,自己分析,WHAT,自己分析のやり方で、何か参考になるような書籍等あればご紹介いただきたいです
インターン,自己分析,xxx,"ありがとうございます！インターンシップ選考に向けて自己分析など進めたいと思いますよろしくお願いします！"
xxx,自己分析,HOW,"ご連絡が遅れてしまい申し訳ありません。 業界研究の方法を詳しく教えていただき誠にありがとうございます。 自己分析の行い方、行う意義も教えていただければ幸いです。"
xxx,自己分析,HOW,自己分析ってどうやってやればいいんですか？
就活,自己分析,HOW,@業界研究は具体的にどのような情報源を基に進めていけばよいのでしょうか？A自己分析は具体的にどのような方法で進めていけばよいのでしょうか？また、就活のために簿記2級取得を目指すという友人がいるのですが、B簿記といった資格は就活においてどのくらい有効なものなのでしょうか？また、具体的に持っておいた方が良い資格などはあるのでしょうか？質問は以上の3点になります。よろしくお願い致します。
xxx,自己分析,xxx,オープンES、また自己分析の行い方はご存知ですか？
準備,ES,xxx,"お願いいたします。 それとインターンの準備とはどういうものが必要ですか？ES書き方、志望理由など"
仕事,自己分析,xxx,採用するのであれば、長期的に仕事をしていってほしいので。一般的に、できるようになりたいことと、今までしてきたことが重なるのはきれいなロジックになります。自己分析はされました？
自分,軸,HOW,"軸をどう定めたら良いか 分からなくて 困ってます。どうしたら良いのでしょうか……過去の経験は語れるけれど 未来の自分が語れません……泣"
xxx,自己分析,TEACH,"改めて自己分析のしかた教えてほしいです。  小学生から高校まで続けたバレーボールについてあまり答えられなくて（；＿；）"
xxx,自己分析,HOW,自己分析のやり方教えてください
xxx,自己分析,HOW,自己分析の仕方がわからない
xxx,自己分析,HOW,自己分析のやり方がわからない。
インターン,自己分析,xxx,例えば、自己分析から初めて、日程が合うようでしたら８月２０日以前までにやっているインターンに是非参加してみてください。
xxx,自己分析,WHAT,また自己分析は様々なやり方があるようですが何から手をつければよいかわかりません…どのようにして取り掛かればよいのでしょうか。
xxx,自己分析,HOW,自己分析のやり方がわからない。
xxx,自己分析,HOW,こんばんは。先ほどマッチャーを通して藤松様にOB訪問させて頂いた、堀田和佳菜です。面接についてやリクルートについてをご丁寧にお話頂きありがとうございました！自己分析のやり方について教えて頂きたいです！よろしくお願い致します。
xxx,自己分析,HOW,自己分析ってどうやるの？
企業,企業研究,HOW,ご相談です。就活の初歩的なご相談かもしれませんが、魅力を感じる会社が沢山あり、選ぶことができません。まずは給与、福利厚生、立地で比べてみましたが、会社の雰囲気や仕事内容は比べてもそれぞれの良さがあり、どこが自分に向いている会社なのか分からず、悩んでいます。もしよろしければ、アドバイスを頂けないでしょうか。
企業,自己分析,xxx,"合同説明会へ行き企業の話を聞くのはとても今の時期いいと思います！ 企業を選ぶ前に自己分析は行っておいたほうがいいと思います！よろしければ行う意義、行い方を送らせて頂いてもよろしいでしょうか？"
準備,自己分析,HOW,東京理科大学経営学部3年、会計学を専攻しています。ポスティングされていたハガキを見て、登録させていただきました。私はサークルに入っていません。しかし、就職情報サイトにはサークルについて記入する欄があり、就職の際サークルに入っていなかったことはマイナスになるのではないかと不安になってしまいました。サークルに入らなかった理由としては2時間以上通学時間があり、時間的体力的に余裕がなかったこと、アルバイトをしていたこと、授業の予習復習に時間をあてていたことがあります。やはりサークル活動をすることは就職でプラスになるのでしょうか？また今現在私は就職に向けての準備ができていないのですが、自己分析などはどうすればいいのでしょうか？教えていただきたいです。よろしくお願いいたします。
xxx,自己分析,xxx,どのように自己分析をしたら良いでしょうか？
自分,自己分析,HOW,"自己分析がなかなか進みません。 なかなか自分と向き合えません。 どんな方法がいいでしょうか？"
企業,内定,xxx,"現在手持ちもなく、内定も１つもありません。４日から少しずつ説明会を新たに入れ始めました。 自分にどんな企業が向いているのかわからなくなりました。"
準備,面接,xxx,"面接不安なので電話面談していただきたいです。  1、準備すること 2、所用時間 はどのような感じでしょうか？"
仕事,自己分析,xxx,まずは自分が「どのようなことが得意なのか」「どのような事柄に興味を持てるのか」「どのような環境であればのびのびと仕事ができるのか」などの自己分析をしてみると、優先順位や興味関心がはかれます
xxx,自己分析,HOW,通過できるESの書き方、自己分析のやり方を教えて欲しいです。
xxx,自己分析,xxx,ありがとうございます！では自己分析の文面をお送りするので、それをみながら明日まで考えておいてください。
xxx,xxx,xxx,"なるほど、ありがとうございます。 キャリアプラン、作るのはなかなか苦労しそうですね。考える時に参考とするべきものや留意すべき点はありますか？"
準備,面接,xxx,"よろしくお願い致します！ 電話面談の前に用意しておくべきこと等ございますでしょうか？"
xxx,自己分析,HOW,"和歌山大学 観光学部 インスタの広告からしりました。 自己分析の仕方を教えて欲しいです。"
xxx,面接,xxx,よろしくお願い致します。今回の面談では、モチベーションの源泉と将来像を一緒に考えて行ければと思います。 そこで、普段川上さんが使っている自己PRを400文字程度で送ってもらえますか？
xxx,面接,xxx,今週の水・木・金の10:00〜17:00まででご都合よろしい時間帯はありますか？ また、今回の面談では、モチベーションの源泉と将来像を一緒に考えて行ければと思います。 そこで、普段川上さんが使っている自己PRを400文字程度で送ってもらえますか？ (このLINEにべた打ちでお願いします！)
xxx,面接,xxx,今回の面談では、モチベーションの源泉と将来像を一緒に考えて行ければと思います。 そこで、普段清水さんが使っている自己PRを400文字程度で送ってもらえますか？
就活,自己分析,HOW,こんにちわ！自己分析について質問があります。自己分析のやり方についてネットでは情報が錯綜しており、どのページを信じていいかわかりません。就活をする上で、オススメの自己分析方法(どの程度の分析が必要かも)などがあれば教えていただきたいです！
自分,面接,HOW,東京海上日動のインターンの二次選考がグループ面接なのですが、グループ面接はどうすればうまく自分をアピールできるのでしょうか。また東京海上日動にはどういう人がとられやすいでしょうか。
インターン,面接,WHAT,"ありがとうございます。ひとつ気になっているのは来週の水曜日に西武鉄道のインターンの面接があるのですが、面接のお作法や何を気をつければいいか不安です。教えていただけますか。"
xxx,面接,xxx,面接官はどこ見てるのでしょうか？
企業,面接,TEACH,持ち駒がなくなってしまい、新しい会社を探しつつも、どの会社に適性があるのか分からない、1.2次面接で落ちてしまうことが悩みです
xxx,面接,xxx,面接で気をつけることは？
xxx,面接,TEACH,面接で気をつけるところを教えてください。
準備,面接,WHAT,"理系院生です。一時面接の準備として何をどの程度やっておくのが良いのでしょうか？回答お願いいたします"
xxx,xxx,HOW,どういった対策をすればよいでしょうか。みておくべき、覚えておくべき知識があれば教えて下さい。
xxx,面接,WHAT,"はじめまして！急で申し訳ありません。 質問なんですが面接でよく聞かれることは何ですか？"
xxx,面接,xxx,面接での心構えは？
xxx,自己分析,WHAT,面接対策や自己分析など今の時期に行うと良いことは具体的に何かありますか？
xxx,面接,HOW,面接のコツを教えて下さい
xxx,面接,xxx,ESは通って次から面接です！
xxx,面接,WHAT,"ありがとうございます。 今週の金曜日に  面接があるのですが 何を意識すればいいでしょうか？"
xxx,面接,xxx,三菱電機ビルテクノサービス 東急コミュニティー の２つが来週一次面接です
企業,面接,HOW,あ、一点伺いたいことがあります。 今度企業のグループ面談というものの予定があるのですが、どういったことを聞かれるのでしょうか。 また、自己紹介というのはどれくらいするのが適量なのでしょうか。自己PRではないので大学、名前、趣味、特技とかの本当の自己紹介みたいなイメージしかないです。
xxx,面接,HOW,グループ面接についてアドバイスを下さい！
就活,面接,xxx,どのようなあるあるでしょうか？例えば面接の注意点や企業探しでよく就活生が困ることなどありますが
xxx,面接,xxx,面接の心得、知りたいです！お願いします。
企業,企業研究,HOW,その部分は企業にそった書き方をすべきということですか？いまさら聞くのも恥ずかしいのですが、企業研究の仕方やアドバイスがあったら教えていただきたいです。今までのやり方を見つめ直したいので。
企業,自己分析,TEACH,前 自己分析のとこまで説明してもらったんですが、3.の企業ポートフォリオの考え方と4.企業の具体的な探し方について教えてもらえませんか？
xxx,企業研究,xxx,業界研究は具体的にどのような情報源を基に進めていけばよいのでしょうか？
xxx,企業研究,HOW,企業研究が上手くできないので、何かコツとかありませんか^^;？
xxx,企業研究,HOW,企業研究、業界研究がなかなか突き詰めれないので、その点アドバイスなどあればよろしくお願いします。
業界,分析,HOW,"名前...なんて見てないので！ダイジョブです！(笑)  自己分析と並行して業界分析もできるとは思うのですが、そちらについても何か流れや方法といったものがあるのでしょうか"
xxx,軸,xxx,そうなんですか！軸とは社風とかではないんですか？
xxx,軸,xxx,自己分析とおそらく軸の探索ですね
仕事,軸,xxx,ありがとうございます！ところで仕事を選ぶ軸に関してお話はしてますでしょうか？
xxx,試験,TEACH,Webテストについて教えてください。
インターン,試験,HOW,試験について教えて下さいインターンのプレエントリーを少しずつ始めているのですが、試験の対策について教えていただきたいです。Webテスト、テストセンター等色々な形式がありますし、
xxx,試験,HOW,SPIの言語が本当にできないのですが対策どうしたらいいですかね？どんな対策がオススメですか？
企業,面接,WHAT,先程、面接を受けた会社から連絡がきて筆記試験を受けることになったのですが、何を勉強すれば良いのでしょうか
就活,自己分析,HOW,ありがとうございます！返信が大変遅れ、すみません。自己分析はしているのですが、一般的なやり方でないかもしれないので、よろしければ教えていただきたいです。また、就活のタイムラインなどを教えていただけると嬉しいです。
就活,就活の進め方,xxx,そうなんですね。まだ9月開催のインターンもあるので、気が向いたら応募してみてください。就職活動の進め方ですが、まずは全体像が把握できるようスケジュールについて説明させていただけますか
就活,面接,HOW,まずEU離脱の影響ですが、実際に離脱するかどうかはまだ決まっていないうえ、離脱するにしても早くて2年後なので現時点ではあまり心配いりませんよ。面接で話せるかどうかも今のうちから練習しておけばきっと大丈夫です！就活に対する不安は情報不足からくるとも言われますし、もしよろしければ就活の流れについてご説明いたしましょうか？
就活,ES,TEACH,こちらこそよろしくお願いします！実はまだ全然就活について考えたことがないので知らないことが多いのですが(笑)大まかな就活のスケジュールってどんな感じなんですか？◯年の◯月頃にエントリーシートを書いて〜とか、大まかにでいいので教えていただけると助かります！！
xxx,xxx,xxx,お世話になってます。少しずつかたまってきました！質問なのですが、リク面を最終？まで突破すると、どのようなメリットがあるのでしょうか。
xxx,面接,xxx,ありがとうございます。4社のリクルーターと計7回会いました。また、面接は2社受けています
xxx,リクルーター,HOW,度々申し訳ありません。先日プレエントリーしていたJR東日本から非通知で電話がかかり、25日に一人でお会いすることになりました。 この出来事はリクルーターによるものなのでしょうか？ また、当日までに行う具体的な対策を教えていただきたいです。
xxx,リクルーター,HOW,すみませんまた質問です。 ESを出した場合、自由応募が確定すると思うのですが、リクルーターと接触するリクルート面接を行う場合は書かなくて良いのでしょうか？ リクルーターの制度がいまいち分からないので、アドバイスお願い致します。
xxx,内定辞退,xxx,もし、内定辞退する場合は、最悪いつ頃までいけますかね？
xxx,内定辞退,xxx,名前、住所、捺印が必要な内定承諾書を提出した後にもし内定辞退したらマズイですかね？
企業,内定,xxx,こんにちは！自分今現在、楽天の内定を持っていて、内定承諾書の提出期限が明日までの状況です。しかし、６月1日からの選考に臨みたいため提出するか躊躇われるのですが、この場合一応提出して、他の企業に内定した場合、後から断ったりして宜しいのでしょうか
企業,内定辞退,xxx,ある企業に内定通知書を受け取りに来るようにと言われました。内定通知書を受け取ったあとに内定辞退することは可能でしょうか
xxx,内定辞退,xxx,書類に同意サインをしても、法的拘束力はないと伺いますが、実際、どの段階まで進むと、内定が決定し、辞退できない状態になると言えるのでしょうか？
就活,自己分析,HOW,ありがとうございます！返信が大変遅れ、すみません。自己分析はしているのですが、一般的なやり方でないかもしれないので、よろしければ教えていただきたいです。また、就活のタイムラインなどを教えていただけると嬉しいです
就活,面接,HOW,面接で話せるかどうかも今のうちから練習しておけばきっと大丈夫です！ 就活に対する不安は情報不足からくるとも言われますし、もしよろしければ就活の流れについてご説明いたしましょうか？
就活,就活の進め方,xxx,就職活動の進め方ですが、まずは全体像が把握できるようスケジュールについて説明させていただければと思います。 いかがですか？
就活,ES,TEACH,こちらこそよろしくお願いします！実はまだ全然就活について考えたことがないので知らないことが多いのですが(笑)大まかな就活のスケジュールってどんな感じなんですか？◯年の◯月頃にエントリーシートを書いて〜とか、大まかにでいいので教えていただけると助かります！！
仕事,xxx,xxx,ありがとうございます。 もう少し視野を広げて中小も見てみようと思います。 ・業務の幅が広いこと(ジョブローテーション) ・福利厚生がしっかりしていること(制度を利用できる環境があること) の２つが重要だと考えています。 「働き方」とはこのようなことでいいでしょうか。
企業,企業研究,WHAT,企業を絞る方法でなにか良い手はありますでしょうか？
企業,軸,TEACH,エントリーシートの質問です 『企業や仕事を選択する上で、あなたが大事にしている価値観や軸について記述してください。また、企業のどのような部分を見て、自分の価値観や軸にあってると思うか教えてください』という質問にたいして、軸を述べたあとその企業のどことあうということを記述すればいいのですかね？
企業,軸,HOW,就活の軸ってよく耳にするんですけど、具体的にどういったものですか？ 見つけ方、軸による業界、企業の選び方など教えていただきたいです
仕事,自己分析,TEACH,"ありがとうございます！ 現段階では「やりがいの実感」のほうが、自分が必要とされていることを肌で感じ取れそうですね。  自分に合った仕事を探すのにおすすめの本やサイトがあれば教えてい"
xxx,軸,xxx,軸がないので、それを伺いたくてご連絡させて頂きました
仕事,軸,xxx,ありがとうございます！ところで仕事を選ぶ軸に関してお話はしてますでしょうか？
xxx,軸,xxx,自己分析とおそらく軸の探索ですね
自分,逆質問,WHAT,最近面接をしていて質問があります集団面接でも、個人面接でも、「最後に何か質問はありますか？」と問われますが、ここでは何か無理矢理にでも質問したほうがいいのでしょうか。面接に行くくらいですから、その企業のことは情報収集してありますし、そこまで質問する内容が思い浮かばないので、私はいつも「大丈夫です」と答えているのですが…。
xxx,面接,xxx,"では、一つお聞きしたいのが 面接の最後に逆質問があった場合どのような質問が適切か知りたいです。"
企業,逆質問,xxx,ドラッグストア業界を志望しているのですが、差別化が難しい業界のように感じて、企業選びが難航していますどんな情報をどのように集めればよいのでしょうかすごく漠然とした質問で申し訳ありません…
